matrixSize,residual,log10residual,normalizedError,log10normalizedError
16,5.11235e-16,-15.2914,0.371688,-0.429822
32,8.87551e-16,-15.0518,0.420705,-0.376023
64,1.78831e-15,-14.7476,0.646484,-0.189442
128,2.93682e-15,-14.5321,0.625447,-0.20381
256,4.76707e-15,-14.3217,0.652018,-0.18574
512,7.9948e-15,-14.0972,0.838388,-0.0765549
1024,1.51824e-14,-13.8187,0.427054,-0.369517
2048,2.64583e-14,-13.5774,0.764784,-0.116461
4096,5.21661e-14,-13.2826,1.48438,0.171545
8192,1.03033e-13,-12.987,1.63808,0.214336
