n,Avg_Time(s),FLOPs
2,2.09e-07,1.91388e+07
3,1.39e-07,4.31655e+07
4,1.39e-07,5.7554e+07
5,1.66667e-07,6e+07
6,1.94667e-07,6.16438e+07
7,2.08333e-07,6.72e+07
8,2.22e-07,7.20721e+07
9,2.36e-07,7.62712e+07
10,2.09e-07,9.56938e+07
11,2.5e-07,8.8e+07
12,2.63667e-07,9.1024e+07
13,2.64e-07,9.84848e+07
14,2.77667e-07,1.0084e+08
15,2.77667e-07,1.08043e+08
16,3.19667e-07,1.00104e+08
17,3.33333e-07,1.02e+08
18,3.33667e-07,1.07892e+08
19,3.89e-07,9.76864e+07
20,3.61333e-07,1.10701e+08
21,3.75e-07,1.12e+08
22,4.03e-07,1.09181e+08
23,4.86333e-07,9.45853e+07
24,4.30333e-07,1.11541e+08
25,4.44e-07,1.12613e+08
26,4.44667e-07,1.16942e+08
27,4.58e-07,1.17904e+08
28,4.58e-07,1.22271e+08
29,5e-07,1.16e+08
30,5.14333e-07,1.16656e+08
31,5e-07,1.24e+08
32,5.14e-07,1.24514e+08
33,5.55333e-07,1.18848e+08
34,5.41667e-07,1.25538e+08
35,5.83333e-07,1.2e+08
36,6.11667e-07,1.17711e+08
37,6.11e-07,1.21113e+08
38,2.35667e-07,3.22489e+08
39,1.39e-07,5.61151e+08
40,1.52333e-07,5.25164e+08
41,1.80333e-07,4.54713e+08
42,1.80333e-07,4.65804e+08
43,1.66667e-07,5.16e+08
44,1.80667e-07,4.87085e+08
45,1.80333e-07,4.99076e+08
46,1.80333e-07,5.10166e+08
47,1.80667e-07,5.20295e+08
48,1.95e-07,4.92308e+08
49,1.95e-07,5.02564e+08
50,2.08e-07,4.80769e+08
51,2.08e-07,4.90385e+08
52,2.08667e-07,4.98403e+08
53,2.22e-07,4.77477e+08
54,2.08e-07,5.19231e+08
55,2.22e-07,4.95495e+08
56,2.22e-07,5.04505e+08
57,2.22e-07,5.13514e+08
58,2.36e-07,4.91525e+08
59,2.22333e-07,5.30735e+08
60,2.91667e-07,4.11429e+08
61,2.5e-07,4.88e+08
62,2.36333e-07,5.24683e+08
63,2.5e-07,5.04e+08
64,2.63667e-07,4.85461e+08
65,2.63667e-07,4.93047e+08
66,2.63667e-07,5.00632e+08
67,2.77333e-07,4.83173e+08
68,2.91333e-07,4.66819e+08
69,2.77667e-07,4.96999e+08
70,2.77333e-07,5.04808e+08
71,2.78e-07,5.10791e+08
72,2.77667e-07,5.18607e+08
73,2.77667e-07,5.2581e+08
74,2.78e-07,5.32374e+08
75,2.91667e-07,5.14286e+08
76,2.91667e-07,5.21143e+08
77,3.05333e-07,5.04367e+08
78,2.91667e-07,5.34857e+08
79,2.91667e-07,5.41714e+08
80,3.05667e-07,5.23446e+08
81,3.75333e-07,4.31616e+08
82,3.33e-07,4.92492e+08
83,3.33e-07,4.98498e+08
84,3.19e-07,5.26646e+08
85,3.2e-07,5.3125e+08
86,3.47e-07,4.95677e+08
87,3.47667e-07,5.00479e+08
88,3.33333e-07,5.28e+08
89,3.61e-07,4.93075e+08
90,3.61333e-07,4.98155e+08
91,3.47333e-07,5.23992e+08
92,3.47e-07,5.30259e+08
93,3.61e-07,5.15235e+08
94,3.75e-07,5.01333e+08
95,4.02333e-07,4.72245e+08
96,3.75e-07,5.12e+08
97,3.61e-07,5.37396e+08
98,3.75e-07,5.22667e+08
99,3.61e-07,5.48476e+08
100,4.30667e-07,4.64396e+08
101,3.88667e-07,5.19726e+08
102,4.02667e-07,5.06623e+08
103,4.02667e-07,5.11589e+08
104,4.02333e-07,5.16984e+08
105,4.16667e-07,5.04e+08
106,3.89e-07,5.44987e+08
107,3.89e-07,5.50129e+08
108,4.16667e-07,5.184e+08
109,4.16667e-07,5.232e+08
110,4.16667e-07,5.28e+08
111,4.17e-07,5.32374e+08
112,4.30667e-07,5.20124e+08
113,4.44667e-07,5.08246e+08
114,4.30667e-07,5.29412e+08
115,4.31e-07,5.33643e+08
116,4.3e-07,5.39535e+08
117,4.44333e-07,5.26632e+08
118,4.58e-07,5.15284e+08
119,4.72e-07,5.04237e+08
120,4.45e-07,5.39326e+08
121,4.58e-07,5.28384e+08
122,4.58e-07,5.32751e+08
123,4.72333e-07,5.20819e+08
124,4.58e-07,5.41485e+08
125,4.86e-07,5.14403e+08
126,5.13667e-07,4.90591e+08
127,5.28e-07,4.81061e+08
128,4.72e-07,5.42373e+08
