n,Avg_Time(s),FLOPs
2,0.000317361,75623.6
3,3.74667e-07,1.92171e+08
4,5.83e-07,2.74443e+08
5,9.30667e-07,3.2235e+08
6,1.43067e-06,3.52283e+08
7,2.23633e-06,3.50574e+08
8,3e-06,3.84e+08
9,4.125e-06,3.92727e+08
10,5.90233e-06,3.72734e+08
11,7.90233e-06,3.67486e+08
12,1.01947e-05,3.67251e+08
13,1.22217e-05,3.87181e+08
14,1.49027e-05,3.9456e+08
15,1.80977e-05,3.97841e+08
16,2.16527e-05,4.01983e+08
17,2.55833e-05,4.06671e+08
18,2.96807e-05,4.14815e+08
19,3.4222e-05,4.21951e+08
20,3.9639e-05,4.23825e+08
21,4.5236e-05,4.2895e+08
22,5.14727e-05,4.3254e+08
23,5.83613e-05,4.35083e+08
24,6.58887e-05,4.37101e+08
25,7.3514e-05,4.42093e+08
26,8.20833e-05,4.44719e+08
27,9.2236e-05,4.42604e+08
28,0.000101958,4.45988e+08
29,0.000111444,4.52783e+08
30,0.000123903,4.50351e+08
31,0.000248875,2.47128e+08
32,0.000272611,2.47913e+08
33,0.000299014,2.47654e+08
34,0.000326736,2.47662e+08
35,0.000353722,2.49348e+08
36,0.000385403,2.48841e+08
37,0.000418208,2.48785e+08
38,0.000402125,2.80092e+08
39,0.000427667,2.8452e+08
40,0.000465153,2.82058e+08
41,0.000498694,2.83148e+08
42,0.000534403,2.83876e+08
43,0.000524139,3.10437e+08
44,0.000550694,3.16401e+08
45,0.000585111,3.18401e+08
46,0.00062525,3.18119e+08
47,0.000625125,3.39235e+08
48,0.00064093,3.52288e+08
49,0.000678348,3.53948e+08
50,0.000722708,3.52839e+08
51,0.000756764,3.57448e+08
52,0.000740167,3.87242e+08
53,0.000787222,3.8537e+08
54,0.000830542,3.86206e+08
55,0.000871944,3.88557e+08
56,0.000875417,4.08382e+08
57,0.000897514,4.1992e+08
58,0.000945472,4.19845e+08
59,0.00097518,4.28352e+08
60,0.000998444,4.39884e+08
61,0.00103349,4.46454e+08
62,0.00106072,4.56617e+08
63,0.00112101,4.5319e+08
64,0.00115522,4.60933e+08
65,0.00118618,4.70164e+08
66,0.00124029,4.70618e+08
67,0.00130881,4.66459e+08
68,0.00136119,4.68788e+08
69,0.00140958,4.72863e+08
70,0.0014876,4.67734e+08
71,0.00154878,4.68695e+08
72,0.00163514,4.62874e+08
73,0.00171551,4.59741e+08
74,0.00174926,4.69569e+08
75,0.00182068,4.69605e+08
76,0.00189111,4.70361e+08
77,0.00197333,4.68711e+08
78,0.00206349,4.65848e+08
79,0.00214,4.66617e+08
80,0.00220343,4.70539e+08
81,0.00228699,4.7049e+08
82,0.00236144,4.7267e+08
83,0.00249586,4.63709e+08
84,0.00255108,4.702e+08
85,0.00264476,4.69872e+08
86,0.00273065,4.71281e+08
87,0.00283379,4.70092e+08
88,0.00296988,4.64138e+08
89,0.00300293,4.74796e+08
90,0.00314044,4.69424e+08
91,0.00322914,4.71861e+08
92,0.00334281,4.70953e+08
93,0.00346296,4.69544e+08
94,0.00356671,4.70697e+08
95,0.00366008,4.73432e+08
96,0.00381576,4.68557e+08
97,0.00391483,4.71071e+08
98,0.00403147,4.71687e+08
99,0.00413597,4.73939e+08
100,0.00430975,4.68705e+08
101,0.00440439,4.72484e+08
102,0.00453758,4.72327e+08
103,0.00468187,4.71322e+08
104,0.00480783,4.72429e+08
105,0.00494201,4.72945e+08
106,0.00509467,4.71965e+08
107,0.00523569,4.72332e+08
108,0.00540447,4.7049e+08
109,0.00549157,4.7597e+08
110,0.00568439,4.72557e+08
111,0.00587075,4.70111e+08
112,0.00597285,4.74639e+08
113,0.0061705,4.71815e+08
114,0.00633893,4.71543e+08
115,0.00648675,4.72995e+08
116,0.00664603,4.73772e+08
117,0.00686132,4.70843e+08
118,0.00700926,4.7279e+08
119,0.00716999,4.74009e+08
120,0.00741292,4.70098e+08
121,0.00753339,4.74209e+08
122,0.00773574,4.73318e+08
123,0.00791049,4.74306e+08
124,0.00815135,4.71578e+08
125,0.00827315,4.75937e+08
126,0.00851492,4.73581e+08
127,0.00885978,4.66041e+08
128,0.00913351,4.62809e+08
129,0.00909649,4.75641e+08
130,0.00939626,4.7123e+08
131,0.00955967,4.73919e+08
132,0.00978283,4.73767e+08
133,0.00998701,4.74682e+08
134,0.0103036,4.70528e+08
135,0.0104178,4.7584e+08
136,0.0107069,4.73331e+08
137,0.0109391,4.73551e+08
138,0.0112068,4.72412e+08
139,0.0113752,4.75587e+08
140,0.0117236,4.71459e+08
141,0.0119298,4.73285e+08
142,0.0121712,4.73817e+08
143,0.0124526,4.72939e+08
144,0.0127175,4.72847e+08
145,0.0136488,4.49805e+08
146,0.014524,4.31487e+08
147,0.014011,4.56517e+08
148,0.0137892,4.73369e+08
149,0.0140154,4.75214e+08
150,0.0143899,4.72205e+08
151,0.0146521,4.73073e+08
152,0.0148927,4.74718e+08
153,0.0152482,4.7284e+08
154,0.0155482,4.72851e+08
155,0.0158102,4.74112e+08
156,0.016122,4.73979e+08
157,0.0164767,4.72732e+08
158,0.0167602,4.73655e+08
159,0.0169979,4.75936e+08
160,0.01744,4.72662e+08
161,0.0177638,4.72782e+08
162,0.0180492,4.74013e+08
163,0.0184532,4.72256e+08
164,0.018784,4.72513e+08
165,0.019055,4.74349e+08
166,0.0194361,4.73537e+08
167,0.0198315,4.72517e+08
168,0.0201411,4.73644e+08
169,0.0204595,4.74631e+08
170,0.0209172,4.7252e+08
171,0.0212805,4.72683e+08
172,0.0215638,4.74686e+08
173,0.0220385,4.72595e+08
174,0.022438,4.72262e+08
175,0.0227302,4.7426e+08
176,0.0231503,4.73665e+08
177,0.0236031,4.72528e+08
178,0.0239581,4.73447e+08
179,0.0242596,4.75473e+08
180,0.0248361,4.72249e+08
181,0.0252311,4.72631e+08
182,0.0255552,4.74401e+08
183,0.0260847,4.72458e+08
184,0.0265044,4.72628e+08
185,0.026834,4.74462e+08
186,0.027314,4.7371e+08
187,0.0278209,4.72607e+08
188,0.0282207,4.73413e+08
189,0.0285692,4.75126e+08
190,0.0292208,4.7193e+08
191,0.0296056,4.73177e+08
192,0.0300646,4.73298e+08
193,0.0310381,4.65641e+08
194,0.0315265,4.65578e+08
195,0.0332358,4.48486e+08
196,0.033301,4.54517e+08
197,0.0341324,4.50257e+08
198,0.0347051,4.49594e+08
199,0.0348183,4.54944e+08
200,0.0351918,4.56924e+08
201,0.0357874,4.56083e+08
202,0.0370702,4.46893e+08
203,0.0378916,4.43721e+08
204,0.0381342,4.47434e+08
205,0.0383538,4.51436e+08
206,0.0390877,4.49463e+08
207,0.0392771,4.53832e+08
208,0.0395647,4.57083e+08
209,0.0407056,4.507e+08
210,0.0416927,4.46366e+08
211,0.0422554,4.46734e+08
212,0.0424973,4.50527e+08
213,0.0429719,4.51875e+08
214,0.0421329,4.67385e+08
215,0.0426531,4.68177e+08
216,0.0447096,4.52894e+08
217,0.0460585,4.45755e+08
218,0.0460235,4.5228e+08
219,0.0467135,4.5175e+08
220,0.048365,4.42319e+08
221,0.0474785,4.56741e+08
222,0.0488933,4.49564e+08
223,0.0499246,4.46245e+08
224,0.0499048,4.52445e+08
225,0.0511055,4.4775e+08
226,0.0512441,4.5251e+08
227,0.052228,4.49897e+08
228,0.052141,4.56621e+08
229,0.0543872,4.43539e+08
230,0.054437,4.48955e+08
231,0.0557327,4.44254e+08
232,0.055272,4.53792e+08
233,0.0562187,4.51936e+08
234,0.0583105,4.4135e+08
235,0.0578898,4.50273e+08
236,0.0598494,4.41106e+08
