n,Avg_Time(s),FLOPs
2,0.000306667,39130.4
3,1.39e-07,1.72662e+08
4,1.8e-07,2.22222e+08
5,2.36333e-07,2.53879e+08
6,2.64e-07,3.18182e+08
7,3.2e-07,3.5e+08
8,3.47333e-07,4.14587e+08
9,4.44333e-07,4.05101e+08
10,5.27667e-07,4.1693e+08
11,6.11333e-07,4.31843e+08
12,8.61e-07,3.62369e+08
13,9.02333e-07,4.03399e+08
14,1e-06,4.2e+08
15,1.15267e-06,4.16426e+08
16,1.23633e-06,4.40011e+08
17,1.375e-06,4.45091e+08
18,1.514e-06,4.51783e+08
19,1.68067e-06,4.52202e+08
20,1.861e-06,4.5137e+08
21,2.125e-06,4.34824e+08
22,2.20867e-06,4.58195e+08
23,2.44433e-06,4.51657e+08
24,2.69467e-06,4.45324e+08
25,2.90233e-06,4.47915e+08
26,3.222e-06,4.35754e+08
27,3.292e-06,4.59295e+08
28,3.43067e-06,4.73377e+08
29,3.69433e-06,4.70992e+08
30,3.98633e-06,4.66594e+08
31,4.30567e-06,4.60788e+08
32,4.472e-06,4.72272e+08
33,4.75e-06,4.72421e+08
34,4.97233e-06,4.78649e+08
35,5.18067e-06,4.86424e+08
36,5.528e-06,4.8191e+08
37,5.80567e-06,4.84354e+08
38,6.11133e-06,4.85001e+08
39,6.347e-06,4.91571e+08
40,6.68067e-06,4.90969e+08
41,7.08367e-06,4.86189e+08
42,7.028e-06,5.13944e+08
43,7.38933e-06,5.12089e+08
44,8e-06,4.95e+08
45,8.34767e-06,4.95947e+08
46,8.611e-06,5.02148e+08
47,9.02767e-06,4.99797e+08
48,9.49967e-06,4.95175e+08
49,9.76433e-06,5.01826e+08
50,1.01673e-05,5.01606e+08
51,1.0569e-05,5.01845e+08
52,1.08477e-05,5.08128e+08
53,1.12777e-05,5.07552e+08
54,1.1681e-05,5.08518e+08
55,1.21803e-05,5.05733e+08
56,1.25273e-05,5.09606e+08
57,1.28747e-05,5.13567e+08
58,1.32777e-05,5.15452e+08
59,1.3639e-05,5.191e+08
60,1.4055e-05,5.20811e+08
61,1.4445e-05,5.23641e+08
62,1.4889e-05,5.24683e+08
63,1.51667e-05,5.31692e+08
64,1.5681e-05,5.30578e+08
65,1.6014e-05,5.35781e+08
66,1.63883e-05,5.39652e+08
67,1.68883e-05,5.39544e+08
68,1.73473e-05,5.40948e+08
69,1.77913e-05,5.42961e+08
70,1.8278e-05,5.43823e+08
71,2.26947e-05,4.50502e+08
72,3.52223e-05,2.98447e+08
73,3.6139e-05,2.98957e+08
74,3.70553e-05,2.99552e+08
75,3.80277e-05,2.99782e+08
76,3.90973e-05,2.99355e+08
77,4.00417e-05,2.99988e+08
78,4.11803e-05,2.99269e+08
79,4.20837e-05,3.00354e+08
80,4.3236e-05,2.9975e+08
81,4.4208e-05,3.00489e+08
82,4.5222e-05,3.01004e+08
83,4.6333e-05,3.00952e+08
84,4.7361e-05,3.01514e+08
85,4.8486e-05,3.0153e+08
86,4.9625e-05,3.01542e+08
87,5.08193e-05,3.01303e+08
88,5.1972e-05,3.01393e+08
89,5.3139e-05,3.01473e+08
90,5.42223e-05,3.0209e+08
91,5.5403e-05,3.02222e+08
92,5.66113e-05,3.02272e+08
93,5.7778e-05,3.02607e+08
94,5.90837e-05,3.02283e+08
95,6.04163e-05,3.01905e+08
96,5.4681e-05,3.40594e+08
97,5.5542e-05,3.423e+08
98,5.65973e-05,3.42843e+08
99,5.77497e-05,3.42859e+08
100,5.89307e-05,3.42776e+08
101,6.00553e-05,3.43084e+08
102,6.1361e-05,3.42432e+08
103,6.24997e-05,3.42786e+08
104,6.3667e-05,3.43035e+08
105,6.49307e-05,3.42827e+08
106,6.60143e-05,3.43622e+08
107,6.7208e-05,3.43888e+08
108,6.84723e-05,3.43847e+08
109,7.00973e-05,3.42096e+08
110,6.40557e-05,3.81231e+08
