n,Avg_Time(s),FLOPs
2,1.59303e-05,2.00875e+06
4,3.88473e-05,4.73649e+06
6,4.61667e-05,1.16968e+07
8,4.7389e-05,2.49847e+07
10,0.000146223,1.50455e+07
12,0.000148417,2.47412e+07
14,0.000151722,3.74632e+07
16,0.00015532,5.35669e+07
18,0.00136588,8.53958e+06
20,0.00122376,1.2911e+07
22,0.00104958,1.98288e+07
24,0.00100029,2.67762e+07
26,0.000884959,3.81939e+07
28,0.000883291,4.7486e+07
30,0.000880611,5.8255e+07
32,0.000798153,7.76192e+07
34,0.00552121,1.34e+07
36,0.00462949,1.88963e+07
38,0.00428144,2.39461e+07
40,0.00393925,3.02596e+07
42,0.00376846,3.65115e+07
44,0.00374701,4.21093e+07
46,0.00381843,4.71031e+07
48,0.00379853,5.36797e+07
50,0.00381104,6.0351e+07
52,0.00375582,6.87552e+07
54,0.00381499,7.56711e+07
56,0.00374643,8.5799e+07
58,0.00378392,9.42368e+07
60,0.00382018,1.03189e+08
62,0.00376333,1.15422e+08
64,0.00380371,1.25452e+08
66,0.0276173,1.89273e+07
68,0.0275051,2.07621e+07
70,0.0284149,2.19005e+07
72,0.0276382,2.44774e+07
74,0.0274854,2.66973e+07
76,0.0274891,2.88915e+07
78,0.0274824,3.12143e+07
80,0.0275421,3.35777e+07
82,0.0275605,3.61079e+07
84,0.0274462,3.89483e+07
86,0.0274939,4.16958e+07
88,0.0274488,4.47169e+07
90,0.0275238,4.76751e+07
92,0.0274098,5.11056e+07
94,0.0274511,5.4398e+07
96,0.0274199,5.79782e+07
98,0.0274681,6.1537e+07
100,0.0273774,6.55651e+07
102,0.0276177,6.89388e+07
104,0.0274635,7.34495e+07
106,0.0274507,7.777e+07
108,0.0274293,8.22836e+07
110,0.027619,8.63065e+07
112,0.0275743,9.12106e+07
114,0.0275174,9.63456e+07
116,0.0275531,1.01336e+08
118,0.0275646,1.06585e+08
120,0.0276231,1.11819e+08
122,0.0275671,1.17702e+08
124,0.0275803,1.23486e+08
126,0.0275403,1.29704e+08
128,0.027906,1.34156e+08
130,0.195857,2.00187e+07
132,0.195876,2.09487e+07
134,0.195725,2.19261e+07
136,0.196106,2.28717e+07
138,0.19626,2.38705e+07
140,0.196286,2.49136e+07
142,0.196285,2.59902e+07
144,0.196175,2.71124e+07
146,0.196764,2.81665e+07
148,0.196,2.94475e+07
150,0.196325,3.05998e+07
152,0.196332,3.18319e+07
154,0.196294,3.31044e+07
156,0.196422,3.43812e+07
158,0.196703,3.56622e+07
160,0.196208,3.71199e+07
162,0.20138,3.75323e+07
164,0.196325,3.99348e+07
166,0.196119,4.14495e+07
168,0.19667,4.28376e+07
170,0.196259,4.44709e+07
172,0.19584,4.61494e+07
174,0.195633,4.78206e+07
176,0.196969,4.91449e+07
178,0.19631,5.10017e+07
180,0.196401,5.27075e+07
182,0.196012,5.45837e+07
184,0.195981,5.64033e+07
186,0.196077,5.82253e+07
188,0.195944,6.0156e+07
190,0.196228,6.19977e+07
192,0.196199,6.3977e+07
194,0.196258,6.59681e+07
196,0.196353,6.79877e+07
198,0.195892,7.0246e+07
200,0.196156,7.22895e+07
202,0.196187,7.44586e+07
204,0.196615,7.65161e+07
206,0.195965,7.90402e+07
208,0.196193,8.12605e+07
210,0.196752,8.338e+07
212,0.196643,8.58229e+07
214,0.197255,8.79911e+07
216,0.19648,9.0828e+07
218,0.196897,9.3167e+07
220,0.196412,9.5981e+07
222,0.196564,9.85358e+07
224,0.196985,1.00996e+08
226,0.196444,1.04001e+08
228,0.196587,1.06698e+08
230,0.19718,1.09191e+08
232,0.196618,1.12374e+08
234,0.196721,1.15234e+08
236,0.196786,1.18164e+08
238,0.196589,1.21304e+08
240,0.196638,1.24347e+08
242,0.19661,1.27488e+08
244,0.196584,1.30681e+08
