n,Avg_Time(s),FLOPs
2,9.44333e-07,3.38863e+07
4,8.736e-06,2.10623e+07
6,6.42637e-05,8.40288e+06
8,6.2889e-05,1.88268e+07
10,0.000436681,5.03801e+06
12,0.0013185,2.78498e+06
14,0.00103661,5.48325e+06
16,0.00101569,8.19144e+06
18,0.0056619,2.06008e+06
20,0.00451269,3.50123e+06
22,0.00387389,5.37238e+06
24,0.00356688,7.50909e+06
26,0.00457164,7.39341e+06
28,0.00724675,5.78797e+06
30,0.00308731,1.66164e+07
32,0.00304389,2.03529e+07
34,0.0210682,3.51165e+06
36,0.0211289,4.14031e+06
38,0.0212072,4.83439e+06
40,0.0211071,5.64739e+06
42,0.0212036,6.48909e+06
44,0.0211116,7.47382e+06
46,0.0211183,8.51678e+06
48,0.0210666,9.67901e+06
50,0.0210347,1.09343e+07
52,0.0211729,1.21964e+07
54,0.0210502,1.37141e+07
56,0.0212307,1.51404e+07
58,0.0210573,1.6934e+07
60,0.0210117,1.8761e+07
62,0.0210825,2.06034e+07
64,0.0210392,2.26807e+07
66,0.146756,3.56183e+06
68,0.146966,3.88569e+06
70,0.147082,4.23098e+06
72,0.147258,4.59405e+06
74,0.147447,4.9766e+06
76,0.147585,5.38129e+06
78,0.147393,5.82012e+06
80,0.147117,6.28615e+06
82,0.147701,6.73759e+06
84,0.147268,7.25874e+06
86,0.147263,7.78458e+06
88,0.147422,8.32594e+06
90,0.147554,8.89301e+06
92,0.147249,9.51308e+06
94,0.147209,1.0144e+07
96,0.147583,1.0772e+07
98,0.147601,1.14519e+07
100,0.147669,1.21556e+07
102,0.147911,1.28721e+07
104,0.14766,1.3661e+07
106,0.147902,1.44342e+07
108,0.147926,1.52575e+07
110,0.147399,1.61718e+07
112,0.147818,1.70146e+07
114,0.147324,1.79956e+07
116,0.147747,1.8898e+07
118,0.147645,1.98988e+07
120,0.14746,2.09467e+07
122,0.147335,2.20227e+07
124,0.147718,2.3056e+07
126,0.148441,2.40642e+07
128,0.147727,2.53422e+07
130,1.02557,3.82303e+06
132,1.02561,4.00087e+06
134,1.02679,4.17953e+06
136,1.02648,4.36956e+06
138,1.02837,4.5556e+06
140,1.03978,4.70311e+06
142,1.03079,4.9491e+06
144,1.03508,5.13853e+06
146,1.03224,5.36907e+06
148,1.0299,5.60415e+06
150,1.02928,5.83659e+06
152,1.02975,6.06907e+06
154,1.02994,6.30929e+06
156,1.02961,6.55901e+06
158,1.03423,6.78273e+06
160,1.02904,7.07767e+06
162,1.02835,7.34988e+06
164,1.03018,7.61053e+06
166,1.03085,7.88578e+06
168,1.02921,8.1858e+06
170,1.03089,8.46626e+06
172,1.03015,8.77344e+06
174,1.02954,9.0869e+06
176,1.02945,9.40312e+06
178,1.0298,9.72244e+06
180,1.03142,1.00364e+07
182,1.03146,1.03727e+07
184,1.03057,1.07261e+07
186,1.03008,1.10833e+07
188,1.02929,1.14519e+07
190,1.02912,1.18214e+07
192,1.02947,1.21928e+07
194,1.03032,1.25658e+07
196,1.03176,1.29386e+07
198,1.03139,1.33418e+07
200,1.03053,1.37599e+07
202,1.03212,1.41533e+07
204,1.03165,1.45826e+07
206,1.03253,1.50012e+07
208,1.03216,1.5446e+07
210,1.03131,1.59071e+07
212,1.03245,1.63461e+07
214,1.03288,1.68042e+07
216,1.03523,1.72387e+07
218,1.05603,1.7371e+07
220,1.04954,1.79619e+07
222,1.0591,1.82879e+07
224,1.05457,1.88654e+07
226,1.04592,1.95335e+07
228,1.04877,2.00001e+07
230,1.04195,2.06636e+07
232,1.04191,2.1206e+07
234,1.04306,2.17331e+07
236,1.04183,2.23195e+07
238,1.04484,2.28237e+07
240,1.04976,2.32922e+07
242,1.04647,2.39523e+07
244,1.04477,2.45889e+07
246,1.0434,2.52294e+07
248,1.04372,2.58399e+07
250,1.04315,2.64823e+07
252,1.04619,2.70421e+07
254,1.0334,2.80314e+07
256,1.03359,2.86913e+07
258,7.17146,4.2325e+06
260,7.17121,4.33151e+06
262,7.17983,4.42659e+06
264,7.17177,4.5335e+06
266,7.1775,4.63327e+06
268,7.18103,4.7359e+06
270,7.18694,4.8384e+06
272,7.17547,4.95428e+06
274,7.18019,5.0607e+06
276,7.19249,5.16313e+06
278,7.18331,5.28259e+06
280,7.18432,5.39631e+06
282,7.17857,5.51683e+06
284,7.18018,5.63342e+06
286,7.17896,5.75389e+06
288,7.1752,5.87816e+06
290,7.18189,5.99553e+06
292,7.18235,6.11967e+06
294,7.18006,6.2479e+06
296,7.19592,6.36185e+06
298,7.1968,6.49051e+06
300,7.19465,6.62367e+06
302,7.18448,6.76621e+06
304,7.18648,6.89923e+06
306,7.18864,7.0338e+06
308,7.18983,7.17104e+06
310,7.18788,7.31325e+06
312,7.18531,7.45798e+06
314,7.18609,7.6011e+06
316,7.18757,7.74528e+06
318,7.22089,7.85645e+06
320,7.24542,7.97811e+06
322,7.25391,8.11873e+06
324,7.2397,8.28678e+06
326,7.21091,8.47448e+06
328,7.20832,8.6341e+06
330,7.21122,8.78905e+06
332,7.21665,8.94267e+06
334,7.21826,9.10282e+06
336,7.21208,9.27483e+06
338,7.21293,9.43992e+06
340,7.21274,9.60831e+06
342,7.21061,9.78133e+06
344,7.21278,9.9505e+06
346,7.21263,1.01248e+07
348,7.21018,1.03045e+07
350,7.21753,1.04721e+07
352,7.20392,1.06723e+07
354,7.21308,1.0841e+07
356,7.22431,1.10082e+07
358,7.22288,1.11966e+07
360,7.20953,1.14059e+07
362,7.22409,1.15732e+07
364,7.21788,1.17758e+07
366,7.22251,1.19628e+07
368,7.21861,1.21661e+07
370,7.21471,1.23718e+07
372,7.2115,1.25786e+07
374,7.21351,1.27786e+07
376,7.21738,1.29772e+07
378,7.22378,1.31733e+07
380,7.21277,1.34034e+07
382,7.21393,1.36135e+07
384,7.21913,1.3818e+07
386,7.22224,1.40285e+07
388,7.22216,1.42474e+07
390,7.22775,1.44572e+07
392,7.22803,1.46797e+07
394,7.22051,1.49205e+07
396,7.23632,1.51153e+07
398,7.23141,1.53554e+07
400,7.23269,1.55848e+07
402,7.22905,1.58272e+07
404,7.22937,1.60634e+07
406,7.23326,1.62939e+07
408,7.23266,1.65367e+07
410,7.23137,1.67836e+07
412,7.22972,1.70338e+07
414,7.22618,1.7291e+07
416,7.22766,1.75387e+07
418,7.23392,1.77769e+07
420,7.23023,1.8042e+07
422,7.23137,1.82975e+07
424,7.23519,1.85486e+07
426,7.23596,1.88098e+07
428,7.23295,1.90834e+07
430,7.23373,1.93495e+07
432,7.23521,1.96162e+07
434,7.23207,1.9898e+07
436,7.23083,2.01773e+07
438,7.25871,2.03771e+07
440,7.29467,2.05552e+07
442,7.22431,2.10391e+07
444,7.23208,2.13025e+07
446,7.22748,2.16049e+07
448,7.22405,2.19067e+07
