n,Avg_Time(s),FLOPs
2,1.6111e-05,1.98622e+06
4,0.000180528,1.01923e+06
6,0.00092675,582681
8,0.000948458,1.24834e+06
10,0.00479546,458767
12,0.00377744,972086
14,0.00322688,1.76146e+06
16,0.00287976,2.88913e+06
18,0.0167653,695722
20,0.0155813,1.01404e+06
22,0.0154484,1.3472e+06
24,0.015487,1.72945e+06
26,0.0155224,2.1775e+06
28,0.0154696,2.71138e+06
30,0.01545,3.32039e+06
32,0.0154168,4.01848e+06
34,0.109362,676507
36,0.109393,799688
38,0.108223,947339
40,0.107807,1.10568e+06
42,0.107716,1.27736e+06
44,0.10786,1.46285e+06
46,0.107783,1.66873e+06
48,0.108047,1.88719e+06
50,0.107793,2.13371e+06
52,0.107998,2.39107e+06
54,0.107859,2.67649e+06
56,0.115862,2.77435e+06
58,0.108854,3.27579e+06
60,0.10948,3.60067e+06
62,0.10991,3.95206e+06
64,0.108452,4.39994e+06
