n,Avg_Time(s),FLOPs
2,8.2861e-05,591352
4,0.000347264,987720
6,0.000173417,6.17382e+06
8,0.00268931,892796
10,0.0026705,1.68213e+06
12,0.00235967,3.17609e+06
14,0.00213503,5.41106e+06
16,0.0111381,1.50897e+06
18,0.0088986,2.62889e+06
20,0.00851868,3.69129e+06
22,0.00851158,4.82775e+06
24,0.00905069,5.79641e+06
26,0.00904669,7.26006e+06
28,0.00916522,8.82351e+06
30,0.00914039,1.07383e+07
32,0.0590247,1.99322e+06
34,0.0590613,2.36156e+06
36,0.0591766,2.76721e+06
38,0.059199,3.21956e+06
40,0.0597312,3.68509e+06
42,0.0598616,4.21683e+06
44,0.059909,4.80132e+06
46,0.0599505,5.43572e+06
48,0.0635345,5.78002e+06
50,0.0635651,6.47874e+06
52,0.0636821,7.21957e+06
54,0.0636974,8.02455e+06
56,0.0644702,8.78059e+06
58,0.0645182,9.68242e+06
60,0.0646262,1.06314e+07
62,0.0647451,1.16351e+07
64,0.412967,1.99421e+06
66,0.412913,2.17443e+06
68,0.412967,2.36421e+06
70,0.413262,2.56281e+06
72,0.414038,2.76853e+06
74,0.415726,2.97775e+06
76,0.414301,3.22028e+06
78,0.413976,3.4666e+06
80,0.417707,3.68872e+06
82,0.417751,3.95308e+06
84,0.418172,4.2255e+06
86,0.417953,4.51642e+06
88,0.41899,4.8056e+06
90,0.4199,5.10745e+06
92,0.419492,5.43781e+06
94,0.419505,5.77605e+06
96,0.445293,5.77286e+06
98,0.44531,6.11666e+06
100,0.445793,6.46658e+06
102,0.445701,6.83767e+06
104,0.446515,7.2076e+06
106,0.446748,7.59955e+06
108,0.446962,8.00516e+06
110,0.446808,8.43123e+06
112,0.452323,8.76057e+06
114,0.452235,9.20865e+06
116,0.452517,9.66339e+06
118,0.452465,1.01396e+07
120,0.453617,1.06025e+07
122,0.453845,1.11005e+07
124,0.45379,1.16204e+07
126,0.454029,1.21479e+07
128,2.88936,1.99518e+06
130,2.89079,2.08291e+06
132,2.89439,2.17142e+06
134,2.90505,2.25675e+06
136,2.91259,2.3465e+06
138,2.90403,2.45187e+06
140,2.89085,2.56457e+06
